Year,Month,modern,Tmp,Rain,Evap,C_inp,FYM,PC,DPM_RPM,DPM_t_C_ha,RPM_t_C_ha,BIO_t_C_ha,HUM_t_C_ha,IOM_t_C_ha,SOC_t_C_ha,deltaC
2011,1,96.85,5.303508064516127,23.15,1.349773176231612,0.1700686730733404,0,0,0.8,0.2572525836140254,4.101474852097236,0.4842574963097695,18.264340955814763,2.25,25.357325887835795,-125.67024838410124
2011,2,96.75,7.077819940476191,34.41,2.6387363486182087,0.1745448751726029,0,0,0.8,0.2188838470171815,4.125385216950841,0.4883340256116692,18.269294507997927,2.25,25.35189759757762,-125.66079842527968
2011,3,96.65,8.573790322580646,38.67,3.55859915848101,0.2297599791959555,0,1,0.8,0.2413911924488682,4.1974564709907645,0.4905010290485428,18.272179394514367,2.25,25.451528087002544,-125.29127655596494
2011,4,96.55,14.102173611111114,45.19,9.009340581424668,0.305187039193031,0,1,1.6,0.2887542282563555,4.206475922608578,0.4937277940605813,18.27633172629455,2.25,25.515289671220067,-125.05449211350027
2011,5,96.45,16.70707661290323,36.12,11.786551558573008,0.3181983698041624,0,1,1.6,0.2917721413945048,4.192108012527063,0.4993422667816408,18.283344736611976,2.25,25.516567157315187,-125.04936027356206
2011,6,96.35,18.494375,23.2,15.175452907847705,0.2641598953206284,0,1,1.6,0.2447127878911401,4.137308824026752,0.5042858233008795,18.28990072539087,2.25,25.42620816060964,-125.3721661892323
2011,7,96.39,19.744630376344087,18.98,18.43883626573353,0.2982441154154626,0,0,1.6,0.2078159861147369,3.974967125547872,0.4979539328295521,18.281873150281296,2.25,25.212610194773458,-126.11570769534576
2011,8,96.31,22.514240591397844,5.23,20.442375799943107,0.2808150941881276,0,0,0.8,0.1379725106902183,3.8152121362642046,0.4841028879104908,18.26232644695113,2.25,24.949613981816043,-127.05656110827148
2011,9,96.05,19.960715277777776,26.82,12.415765360762933,0.2947649204670425,0,0,0.8,0.1442315688005617,3.719798987325434,0.4683008402345323,18.23981319253473,2.25,24.822144588895256,-127.54788816936312
2011,10,96.15,14.963803763440865,10.69,8.327003772963014,0.3454908366019261,0,1,0.8,0.2095517936591466,3.807647561737316,0.4653426359264662,18.235137551159852,2.25,24.967679542482784,-127.03875199044911
2011,11,95.85,10.5598125,48.96,1.1939813241474204,0.1771770335287541,0,1,0.8,0.1949028713280826,3.839274170162137,0.4674187104349324,18.23693285360986,2.25,24.988528605535013,-126.99635164130096
