Year,Month,DPM_t_C_ha,RPM_t_C_ha,BIO_t_C_ha,HUM_t_C_ha,IOM_t_C_ha,SOC_t_C_ha,deltaC
2011,1,0.13401360863545683,3.5427221858508076,0.38844077230030366,14.573511650637032,2.25,20.8886882174236,-228.47078496002393
2011,2,0.12918055917575746,3.562552194691055,0.38890543131591765,14.574284123038833,2.25,20.904922308221565,-228.36388178170475
2011,3,0.10160327422264984,3.543813805301549,0.38882590268210476,14.574392807576444,2.25,20.85863578978275,-228.56718980935742
2011,4,0.18538790999050553,3.551563044288347,0.3867594434929164,14.572099338075622,2.25,20.94580973584739,-228.13683602877188
2011,5,0.17854106365992867,3.517306170675978,0.38933192318295506,14.574887711294972,2.25,20.910066868813832,-228.29920528572111
2011,6,0.17934218221971687,3.4757153390219924,0.39069099016607123,14.576261018168664,2.25,20.872009529576445,-228.4785082747025
2011,7,0.15623754888120384,3.4114958779007516,0.39141872165781905,14.576858124211217,2.25,20.78601027265099,-228.87596535693032
2011,8,0.10834457025442534,3.363376641918265,0.38875554609457913,14.573107628410785,2.25,20.683584386678053,-229.36005286198312
2011,9,0.10853102094063127,3.3467527237317714,0.38375913265952377,14.566762049171542,2.25,20.655804926503468,-229.51552925614294
2011,10,0.10448747611086098,3.34615832234357,0.38150638668207937,14.563850511278888,2.25,20.646002696415398,-229.5695179695466
2011,11,0.09080376230116356,3.336531967239924,0.38056995167266505,14.562680298276002,2.25,20.620585979489753,-229.70931868254573
2011,12,0.10368695699215685,3.3578310349100517,0.379078530835258,14.560824510425302,2.25,20.65142103316277,-229.59580801242518
2012,1,0.0860996503751948,3.3423859783689753,0.3784353631889031,14.559950590581314,2.25,20.61687158251439,-229.74253083101016
2012,2,0.08801708882884896,3.3480565260883206,0.3775948183580711,14.558908893589113,2.25,20.622577326864352,-229.70266830255116
2012,3,0.07923644911488548,3.320982589256677,0.37436182981197,14.554401686575458,2.25,20.57898255475899,-229.89222557647705
2012,4,0.15783850136268812,3.3462541130663164,0.3727918794232563,14.552253119782218,2.25,20.67913761363448,-229.39264136205318
2012,5,0.1490018380679667,3.30560463147802,0.3737979266292013,14.552135482412105,2.25,20.630539878587292,-229.6181736470506
2012,6,0.1585422051380336,3.24932426632386,0.37253476880507624,14.548505995141097,2.25,20.578907235408067,-229.85905151223352
2012,7,0.136778216948103,3.179137977129492,0.3718843508586771,14.545481985414652,2.25,20.483282530350923,-230.32066389320738
2012,8,0.12332886363630181,3.166845923160638,0.36800684606041756,14.537832945672267,2.25,20.446014578529624,-230.50350985799872
2012,9,0.1102085353147767,3.1615737871539276,0.36567490507895617,14.532973376036283,2.25,20.420430603583945,-230.65277849215738
2012,10,0.12187164205714879,3.193845775838274,0.3644149045539539,14.530256883178142,2.25,20.460389205627518,-230.47130956259332
2012,11,0.11598068968776855,3.2077560918844847,0.3647847146675666,14.530165884093996,2.25,20.468687380333815,-230.44414759008646
2012,12,0.1112276261993631,3.2214282331234885,0.3647586551965532,14.529416787465182,2.25,20.476831301984586,-230.42253395441014
2013,1,0.09967138067215447,3.221672404252753,0.3644971556560488,14.528345600830939,2.25,20.464186541411895,-230.46021476932253
2013,2,0.09066443189742718,3.218937166423092,0.3640888249154952,14.527320588724214,2.25,20.45101101196023,-230.5162952210007
2013,3,0.09270558791775949,3.222625602289466,0.36242413969429926,14.524295530655523,2.25,20.452050860557048,-230.49897672978327
2013,4,0.1566855086692283,3.2392810785533768,0.36140521288151084,14.522222042695674,2.25,20.52959384279979,-230.11393973988515
2013,5,0.18235987964479483,3.2472116589736304,0.363292525254969,14.5234237540612,2.25,20.566287817934594,-229.93883907092572
2013,6,0.17477859940044477,3.2225950060367796,0.36620547745904597,14.524876644681372,2.25,20.53845572757764,-230.08048522435644
2013,7,0.12048490680841267,3.1224013219473092,0.36618017460687546,14.521097476388832,2.25,20.38016387975143,-230.84541817831828
2013,8,0.09663321993007115,3.0874065503539105,0.3622331170466271,14.51337182085867,2.25,20.30964470818928,-231.19442358795817
2013,9,0.11813190750291133,3.107626523538678,0.35805042180698854,14.505823102169233,2.25,20.33963195501781,-231.07938406748917
2013,10,0.13412835923739413,3.1517581808681463,0.35700657428867405,14.502537915824764,2.25,20.39543103021898,-230.84406453492534
2013,11,0.13254181930964976,3.1798854534417194,0.35793914951823536,14.50283689662874,2.25,20.423203318898345,-230.73536706319032
2013,12,0.11253874742874888,3.1763286237198867,0.35880552273529903,14.503252469556449,2.25,20.400925363440383,-230.8582586206136
2014,1,0.12042687222666973,3.2072358283611497,0.3587170676950052,14.502146087741387,2.25,20.438525856024214,-230.63703426906756
2014,2,0.1186319436526316,3.2281319219228566,0.3590768798699052,14.501631800552774,2.25,20.45747254599817,-230.52647566774732
2014,3,0.1081673066426967,3.232204925588278,0.3586722708305404,14.499464672794435,2.25,20.44850917585595,-230.5562728285272
2014,4,0.17809102192324416,3.2416365511631,0.35772302775399084,14.49666023421192,2.25,20.524110835052255,-230.17889013418335
2014,5,0.1842436449180179,3.233259634921218,0.3608521791022342,14.498500717277029,2.25,20.526856176218498,-230.16825775257698
2014,6,0.17458629394320252,3.1931928511545546,0.36340043983425335,14.498520674912195,2.25,20.479700259844204,-230.4037487310484
2014,7,0.1873840832444908,3.1599658891059357,0.36459190276713926,14.496920665262317,2.25,20.458862540379883,-230.5189104246643
2014,8,0.14062241422824664,3.1691188163013213,0.3663805525799763,14.496023421603974,2.25,20.42214520471352,-230.71674674615937
2014,9,0.11758566046539967,3.1624855587404603,0.3648033302851839,14.4915977977767,2.25,20.386472347267745,-230.9138290614551
2014,10,0.11292845970256302,3.1709763831073854,0.3631206734852248,14.487846809143907,2.25,20.38487232543908,-230.95049324262195
2014,11,0.10215983888896973,3.1743467087469086,0.36294620985221404,14.486893688472673,2.25,20.376346445960763,-231.0125887269011
2014,12,0.0892014518098147,3.1675429765666716,0.3623391293282973,14.485436408497378,2.25,20.35451996620216,-231.13867411989276
2015,1,0.07759080164021731,3.155960589916642,0.361522436956445,14.48388948926271,2.25,20.328963317776015,-231.25058764815165
2015,2,0.10224116159097557,3.193598687349632,0.36055672107001974,14.482264758172287,2.25,20.388661328182913,-230.93999545648802
2015,3,0.1022722787262206,3.200405086047402,0.3590898775702868,14.479016686454088,2.25,20.390783928797998,-230.9137795918741
2015,4,0.17799281178845566,3.2189090633519895,0.35806848635876026,14.476459557079925,2.25,20.48142991857913,-230.4629814858604
2015,5,0.19533423334499284,3.210631115178061,0.3609216906829114,14.477532421805348,2.25,20.494419461011315,-230.39030987391297
2015,6,0.1476848768173899,3.145610480875547,0.3639515666619098,14.477884675533403,2.25,20.38513159988825,-230.9308262339882
2015,7,0.1222838648467962,3.0535498381195536,0.36150462266616196,14.471121671491773,2.25,20.258459997124284,-231.5605615702292
2015,8,0.11567365548934784,3.047275359960173,0.35754221785392665,14.46284056673942,2.25,20.23333180004287,-231.68658565162048
2015,9,0.10067691508825952,3.0407667164015315,0.3556275565422471,14.458163543389842,2.25,20.205234731421882,-231.83553664517177
2015,10,0.14342012814022878,3.1147099837880967,0.3540645886611674,14.454624605716601,2.25,20.316819306306094,-231.3373174885729
2015,11,0.11666436332479606,3.1150879003821395,0.3553858923145451,14.455042823036347,2.25,20.29218097905783,-231.4771593768412
2015,12,0.10342823812482792,3.117739228337067,0.35558645156008467,14.454323862279626,2.25,20.281077780301604,-231.54469390432385
2016,1,0.09303617676903542,3.116177496634725,0.35502701601482883,14.452512850680417,2.25,20.266753540099007,-231.5914201753001
2016,2,0.10654524759305468,3.143382912619236,0.35404315758538407,14.45020378216836,2.25,20.304175099966034,-231.38670492666412
2016,3,0.07865712395392539,3.117052263236168,0.35362785870698377,14.448393362317217,2.25,20.247730608214294,-231.66376206649142
